Source,ProductTypeDes,Target,Volume
North America,Other transport equipment,Australia and New Zealand,4960322705
North America,Other transport equipment,Brazil,5349292382
North America,Other transport equipment,China,16542429025
North America,Other transport equipment,Commonwealth of Independent States (CIS),2372515505
North America,Other transport equipment,Europe,44823317365
North America,Other transport equipment,European Union (28),40101616781
North America,Other transport equipment,Four East Asian traders,16600951635
North America,Other transport equipment,India,1676882703
North America,Other transport equipment,Japan,7727564145
North America,Other transport equipment,Mexico,9135285152
North America,Other transport equipment,Middle East,14768999921
North America,Other transport equipment,North America,43624583403
North America,Other transport equipment,Other Africa,3832421757
North America,Other transport equipment,Other Asia,6793642136
North America,Other transport equipment,Other CIS (CIS11),300141620
North America,Other transport equipment,Other Europe,4721700584
North America,Other transport equipment,Russian Federation,2072373885
North America,Other transport equipment,South Africa,645788491
North America,Other transport equipment,South and Central America,13471959430
North America,Other transport equipment,United States,19491300875
South and Central America,Machinery and transport equipment,Africa,1497420075
South and Central America,Machinery and transport equipment,Asia,4036417707
South and Central America,Machinery and transport equipment,Australia and New Zealand,396373552
South and Central America,Machinery and transport equipment,Brazil,5369941850
South and Central America,Machinery and transport equipment,China,1415171430
South and Central America,Machinery and transport equipment,Commonwealth of Independent States (CIS),53756326
South and Central America,Machinery and transport equipment,Europe,5130368202
South and Central America,Machinery and transport equipment,European Union (28),3968099249
South and Central America,Machinery and transport equipment,Four East Asian traders,1172829097
South and Central America,Machinery and transport equipment,India,219383622
South and Central America,Machinery and transport equipment,Japan,222383487
South and Central America,Machinery and transport equipment,Mexico,3090977109
South and Central America,Machinery and transport equipment,Middle East,343635839
South and Central America,Machinery and transport equipment,North America,14817640631
South and Central America,Machinery and transport equipment,Other Africa,796105682
South and Central America,Machinery and transport equipment,Other Asia,610276518
South and Central America,Machinery and transport equipment,Other CIS (CIS11),19998030
South and Central America,Machinery and transport equipment,Other Europe,1162268954
South and Central America,Machinery and transport equipment,Russian Federation,33758296
South and Central America,Machinery and transport equipment,South Africa,701314393
South and Central America,Machinery and transport equipment,South and Central America,24033090705
South and Central America,Machinery and transport equipment,United States,11123126789
South and Central America,Automotive products,Africa,647595498
South and Central America,Automotive products,Asia,681680007
South and Central America,Automotive products,Australia and New Zealand,271676791
South and Central America,Automotive products,Brazil,4585329964
South and Central America,Automotive products,China,90185379
South and Central America,Automotive products,Commonwealth of Independent States (CIS),8141010
South and Central America,Automotive products,Europe,693806308
South and Central America,Automotive products,European Union (28),632590958
South and Central America,Automotive products,Four East Asian traders,8806594
South and Central America,Automotive products,India,26270141
South and Central America,Automotive products,Japan,10007119
South and Central America,Automotive products,Mexico,1550948172
South and Central America,Automotive products,Middle East,43444117
South and Central America,Automotive products,North America,2254181862
South and Central America,Automotive products,Other Africa,170833527
South and Central America,Automotive products,Other Asia,274733982
South and Central America,Automotive products,Other CIS (CIS11),2328193
South and Central America,Automotive products,Other Europe,61215350
South and Central America,Automotive products,Russian Federation,5812817
South and Central America,Automotive products,South Africa,476761971
South and Central America,Automotive products,South and Central America,13615074678
South and Central America,Automotive products,United States,694115672
South and Central America,Other transport equipment,Africa,243513585
South and Central America,Other transport equipment,Asia,1692064585
South and Central America,Other transport equipment,Australia and New Zealand,32387004
South and Central America,Other transport equipment,Brazil,214950401
South and Central America,Other transport equipment,China,633196535
South and Central America,Other transport equipment,Commonwealth of Independent States (CIS),3187406
South and Central America,Other transport equipment,Europe,2133983912
South and Central America,Other transport equipment,European Union (28),1207656145
South and Central America,Other transport equipment,Four East Asian traders,720328544
South and Central America,Other transport equipment,India,97642587
South and Central America,Other transport equipment,Japan,110462574
South and Central America,Other transport equipment,Mexico,192408622
South and Central America,Other transport equipment,Middle East,43225258
South and Central America,Other transport equipment,North America,4527739367
South and Central America,Other transport equipment,Other Africa,185720740
South and Central America,Other transport equipment,Other Asia,98047341
South and Central America,Other transport equipment,Other CIS (CIS11),70153
South and Central America,Other transport equipment,Other Europe,926327767
South and Central America,Other transport equipment,Russian Federation,3117253
South and Central America,Other transport equipment,South Africa,57792845
South and Central America,Other transport equipment,South and Central America,1196201982
South and Central America,Other transport equipment,United States,4059302359
United States,Machinery and transport equipment,Africa,13249237078
United States,Machinery and transport equipment,Asia,178356917507
United States,Machinery and transport equipment,Australia and New Zealand,15249311227
United States,Machinery and transport equipment,Brazil,13896266728
United States,Machinery and transport equipment,China,51566872403
United States,Machinery and transport equipment,Commonwealth of Independent States (CIS),5754238329
United States,Machinery and transport equipment,Europe,112055742297
United States,Machinery and transport equipment,European Union (28),103204147767
United States,Machinery and transport equipment,Four East Asian traders,60489532419
United States,Machinery and transport equipment,India,5107550318
United States,Machinery and transport equipment,Japan,20760156108
United States,Machinery and transport equipment,Mexico,109821896467
United States,Machinery and transport equipment,Middle East,42726502751
United States,Machinery and transport equipment,North America,233707335410
United States,Machinery and transport equipment,Other Africa,10520950190
United States,Machinery and transport equipment,Other Asia,25183495031
United States,Machinery and transport equipment,Other CIS (CIS11),1278392815
United States,Machinery and transport equipment,Other Europe,8851594530
United States,Machinery and transport equipment,Russian Federation,4475845513
United States,Machinery and transport equipment,South Africa,2728286887
United States,Machinery and transport equipment,South and Central America,50497534783
United States,Automotive products,Africa,2302696080
United States,Automotive products,Asia,19208769363
United States,Automotive products,Australia and New Zealand,3109372553
United States,Automotive products,Brazil,1061689265
United States,Automotive products,China,10845434640
United States,Automotive products,Commonwealth of Independent States (CIS),733907359
United States,Automotive products,Europe,14907951845
United States,Automotive products,European Union (28),14092021379
United States,Automotive products,Four East Asian traders,2594692640
United States,Automotive products,India,188207057
United States,Automotive products,Japan,1317981688
United States,Automotive products,Mexico,26130034900
United States,Automotive products,Middle East,10634804702
United States,Automotive products,North America,74630143088
United States,Automotive products,Other Africa,1698122572
United States,Automotive products,Other Asia,1153080785
United States,Automotive products,Other CIS (CIS11),161859436
United States,Automotive products,Other Europe,815930466
United States,Automotive products,Russian Federation,572047923
United States,Automotive products,South Africa,604573508
United States,Automotive products,South and Central America,5175287704
United States,Other transport equipment,Africa,4116243248
United States,Other transport equipment,Asia,52523832349
United States,Other transport equipment,Australia and New Zealand,4750107705
United States,Other transport equipment,Brazil,5190309382
United States,Other transport equipment,China,16010068025
United States,Other transport equipment,Commonwealth of Independent States (CIS),2222261505
United States,Other transport equipment,Europe,42114930176
United States,Other transport equipment,European Union (28),37492599167
United States,Other transport equipment,Four East Asian traders,16173081635
United States,Other transport equipment,India,1529087703
United States,Other transport equipment,Japan,7528759145
United States,Other transport equipment,Mexico,8910726152
United States,Other transport equipment,Middle East,14437150921
United States,Other transport equipment,North America,23463517528
United States,Other transport equipment,Other Africa,3598174757
United States,Other transport equipment,Other Asia,6532728136
United States,Other transport equipment,Other CIS (CIS11),265075620
United States,Other transport equipment,Other Europe,4622331009
United States,Other transport equipment,Russian Federation,1957185885
United States,Other transport equipment,South Africa,518068491
United States,Other transport equipment,South and Central America,13010241430
