Source,ProductTypeDes,Target,Volume
Australia and New Zealand,Automotive products,United States,321677799
Australia and New Zealand,Other transport equipment,Africa,56024925
Australia and New Zealand,Other transport equipment,Asia,1006264850
Australia and New Zealand,Other transport equipment,Australia and New Zealand,231729742
Australia and New Zealand,Other transport equipment,Brazil,11060779
Australia and New Zealand,Other transport equipment,China,44597624
Australia and New Zealand,Other transport equipment,Commonwealth of Independent States (CIS),1458305
Australia and New Zealand,Other transport equipment,Europe,367125123
Australia and New Zealand,Other transport equipment,European Union (28),354908624
Australia and New Zealand,Other transport equipment,Four East Asian traders,448258886
Australia and New Zealand,Other transport equipment,India,6246832
Australia and New Zealand,Other transport equipment,Japan,10462324
Australia and New Zealand,Other transport equipment,Mexico,1698476
Australia and New Zealand,Other transport equipment,Middle East,96993665
Australia and New Zealand,Other transport equipment,North America,1071756699
Australia and New Zealand,Other transport equipment,Other Africa,13203092
Australia and New Zealand,Other transport equipment,Other Asia,264969442
Australia and New Zealand,Other transport equipment,Other CIS (CIS11),530688
Australia and New Zealand,Other transport equipment,Other Europe,12216499
Australia and New Zealand,Other transport equipment,Russian Federation,927617
Australia and New Zealand,Other transport equipment,South Africa,42821833
Australia and New Zealand,Other transport equipment,South and Central America,38272588
Australia and New Zealand,Other transport equipment,United States,1001716324
Brazil,Machinery and transport equipment,Africa,1083309000
Brazil,Machinery and transport equipment,Asia,3386810000
Brazil,Machinery and transport equipment,Australia and New Zealand,116898000
Brazil,Machinery and transport equipment,China,1280814000
Brazil,Machinery and transport equipment,Commonwealth of Independent States (CIS),39174000
Brazil,Machinery and transport equipment,Europe,4180118000
Brazil,Machinery and transport equipment,European Union (28),3143021000
Brazil,Machinery and transport equipment,Four East Asian traders,1031124000
Brazil,Machinery and transport equipment,India,205195000
Brazil,Machinery and transport equipment,Japan,197639000
Brazil,Machinery and transport equipment,Mexico,1883632000
Brazil,Machinery and transport equipment,Middle East,281332000
Brazil,Machinery and transport equipment,North America,9670916000
Brazil,Machinery and transport equipment,Other Africa,567233000
Brazil,Machinery and transport equipment,Other Asia,555140000
Brazil,Machinery and transport equipment,Other CIS (CIS11),14075000
Brazil,Machinery and transport equipment,Other Europe,1037097000
Brazil,Machinery and transport equipment,Russian Federation,25099000
Brazil,Machinery and transport equipment,South Africa,516076000
Brazil,Machinery and transport equipment,South and Central America,12620297000
Brazil,Machinery and transport equipment,United States,7499006000
Brazil,Automotive products,Africa,473090000
Brazil,Automotive products,Asia,352297000
Brazil,Automotive products,Australia and New Zealand,18883000
Brazil,Automotive products,China,21375000
Brazil,Automotive products,Commonwealth of Independent States (CIS),6659000
Brazil,Automotive products,Europe,238855000
Brazil,Automotive products,European Union (28),233887000
Brazil,Automotive products,Four East Asian traders,6705000
Brazil,Automotive products,India,25929000
Brazil,Automotive products,Japan,7386000
Brazil,Automotive products,Mexico,1042714000
Brazil,Automotive products,Middle East,39537000
Brazil,Automotive products,North America,1434408000
Brazil,Automotive products,Other Africa,136948000
Brazil,Automotive products,Other Asia,272019000
Brazil,Automotive products,Other CIS (CIS11),2163000
Brazil,Automotive products,Other Europe,4968000
Brazil,Automotive products,Russian Federation,4496000
Brazil,Automotive products,South Africa,336142000
Brazil,Automotive products,South and Central America,7333213000
Brazil,Automotive products,United States,390077000
Brazil,Other transport equipment,Africa,85176000
Brazil,Other transport equipment,Asia,1661293000
Brazil,Other transport equipment,Australia and New Zealand,29790000
Brazil,Other transport equipment,China,626273000
Brazil,Other transport equipment,Commonwealth of Independent States (CIS),2570000
Brazil,Other transport equipment,Europe,1951212000
Brazil,Other transport equipment,European Union (28),1070810000
Brazil,Other transport equipment,Four East Asian traders,708636000
Brazil,Other transport equipment,India,95164000
Brazil,Other transport equipment,Japan,108555000
Brazil,Other transport equipment,Mexico,171404000
Brazil,Other transport equipment,Middle East,39074000
Brazil,Other transport equipment,North America,3879661000
Brazil,Other transport equipment,Other Africa,44248000
Brazil,Other transport equipment,Other Asia,92875000
Brazil,Other transport equipment,Other CIS (CIS11),3000
Brazil,Other transport equipment,Other Europe,880402000
Brazil,Other transport equipment,Russian Federation,2567000
Brazil,Other transport equipment,South Africa,40928000
Brazil,Other transport equipment,South and Central America,659292000
Brazil,Other transport equipment,United States,3596505000
Europe,Machinery and transport equipment,Africa,67545781684
Europe,Machinery and transport equipment,Asia,271250218148
Europe,Machinery and transport equipment,Australia and New Zealand,19676467089
Europe,Machinery and transport equipment,Brazil,18301634743
Europe,Machinery and transport equipment,China,102614338000
Europe,Machinery and transport equipment,Commonwealth of Independent States (CIS),54016694245
Europe,Machinery and transport equipment,Europe,1416366116214
Europe,Machinery and transport equipment,European Union (28),1300785111801
Europe,Machinery and transport equipment,Four East Asian traders,68094909789
