Source,Target,Volume
North America,Commonwealth of Independent States (CIS),58405760
North America,Europe,1819224129
North America,European Union (28),1728593518
North America,Four East Asian traders,947102742
North America,India,16475211
North America,Japan,1084432126
North America,Mexico,59253015
North America,Middle East,32031894
North America,North America,4810710928
North America,Other Africa,43579215
North America,Other Asia,391720976
North America,Other CIS (CIS11),58266760
North America,Other Europe,90630611
North America,Russian Federation,139000
North America,South Africa,3141400
North America,South and Central America,172593907
North America,United States,3632522050
South and Central America,Africa,154330951
South and Central America,Asia,3387670594
South and Central America,Australia and New Zealand,18086029
South and Central America,Brazil,640230551
South and Central America,China,673680526
South and Central America,Commonwealth of Independent States (CIS),396614330
South and Central America,Europe,2979416325
South and Central America,European Union (28),2948124496
South and Central America,Four East Asian traders,546779002
South and Central America,India,2000954
South and Central America,Japan,1096813556
South and Central America,Mexico,188344539
South and Central America,Middle East,77308043
South and Central America,North America,3468033341
South and Central America,Other Africa,142304583
South and Central America,Other Asia,1050310527
South and Central America,Other CIS (CIS11),27591272
South and Central America,Other Europe,31291829
South and Central America,Russian Federation,369023058
South and Central America,South Africa,12026367
South and Central America,South and Central America,1484160706
South and Central America,United States,3192061715
United States,Africa,27841615
United States,Asia,2740823951
United States,Australia and New Zealand,54986135
United States,Brazil,4478387
United States,China,1003975762
United States,Commonwealth of Independent States (CIS),39064760
United States,Europe,1201431129
United States,European Union (28),1172717518
United States,Four East Asian traders,639730742
United States,India,15882211
United States,Japan,799757126
United States,Mexico,58838015
United States,Middle East,26223894
United States,North America,1172270878
United States,Other Africa,25484215
United States,Other Asia,226491976
United States,Other CIS (CIS11),39064760
United States,Other Europe,28713611
United States,Russian Federation,0
United States,South Africa,2357400
United States,South and Central America,112326907
